category	id	name	emoji
animal	1F63A	grinning cat	😺
animal	1F638	grinning cat with smiling eyes	😸
animal	1F639	cat with tears of joy	😹
animal	1F63B	smiling cat with heart-eyes	😻
animal	1F63C	cat with wry smile	😼
animal	1F63D	kissing cat	😽
animal	1F640	weary cat	🙀
animal	1F63F	crying cat	😿
animal	1F63E	pouting cat	😾
animal	1F648	see-no-evil monkey	🙈
animal	1F649	hear-no-evil monkey	🙉
animal	1F64A	speak-no-evil monkey	🙊
animal	1F3C7	horse racing	🏇
vehicle	1F6A3	person rowing boat	🚣
kitchen	1F93D	person playing water polo	🤽
animal	1F435	monkey face	🐵
animal	1F412	monkey	🐒
animal	1F98D	gorilla	🦍
animal	1F9A7	orangutan	🦧
animal	1F436	dog face	🐶
animal	1F415	dog	🐕
animal	1F9AE	guide dog	🦮
animal	1F429	poodle	🐩
animal	1F43A	wolf	🐺
animal	1F98A	fox	🦊
animal	1F431	cat face	🐱
animal	1F408	cat	🐈
animal	1F981	lion	🦁
animal	1F42F	tiger face	🐯
animal	1F405	tiger	🐅
animal	1F406	leopard	🐆
animal	1F434	horse face	🐴
animal	1FACE	moose	🫎
animal	1F40E	horse	🐎
animal	1F984	unicorn	🦄
animal	1F993	zebra	🦓
animal	1F98C	deer	🦌
animal	1F9AC	bison	🦬
animal	1F42E	cow face	🐮
animal	1F402	ox	🐂
kitchen	1F403	water buffalo	🐃
animal	1F404	cow	🐄
animal	1F437	pig face	🐷
animal	1F416	pig	🐖
animal	1F417	boar	🐗
animal	1F43D	pig nose	🐽
animal	1F40F	ram	🐏
animal	1F410	goat	🐐
animal	1F42A	camel	🐪
animal	1F42B	two-hump camel	🐫
animal	1F999	llama	🦙
animal	1F992	giraffe	🦒
animal	1F418	elephant	🐘
animal	1F98F	rhinoceros	🦏
animal	1F99B	hippopotamus	🦛
animal	1F42D	mouse face	🐭
animal	1F401	mouse	🐁
animal	1F400	rat	🐀
animal	1F439	hamster	🐹
animal	1F430	rabbit face	🐰
animal	1F407	rabbit	🐇
animal	1F43F	chipmunk	🐿
animal	1F9AB	beaver	🦫
animal	1F994	hedgehog	🦔
animal	1F987	bat	🦇
animal	1F43B	bear	🐻
animal	1F428	koala	🐨
animal	1F43C	panda	🐼
