1F412	monkey	קוף
1F98D	gorilla	גורילה
1F9A7	orangutan	אורנגאוטן
1F415	dog	כלב
1F429	poodle	פודל
1F43A	wolf	זאב
1F98A	fox	שועל
1F408	cat	חתול
1F981	lion	אריה
1F405	tiger	טיגריס
1F406	leopard	נמר
1FACE	moose	אייל קורא
1F40E	horse	סוס
1F984	unicorn	חד-קרן
1F993	zebra	זברה
1F98C	deer	אייל
1F9AC	bison	ביזון
1F402	ox	שור
1F404	cow	פרה
1F416	pig	חזיר
1F417	boar	חזיר בר
1F40F	ram	איל
1F410	goat	עז
1F42A	camel	גמל
1F999	llama	למה
1F992	giraffe	ג'ירפה
1F418	elephant	פיל
1F98F	rhinoceros	קרנף
1F99B	hippopotamus	היפופוטם
1F401	mouse	עכבר
1F400	rat	חולדה
1F439	hamster	אוגר
1F407	rabbit	ארנב
1F43F	chipmunk	סנאי מפוספס
1F9AB	beaver	בונה
1F994	hedgehog	קיפוד
1F987	bat	עטלף
1F43B	bear	דוב
1F428	koala	קואלה
1F43C	panda	פנדה
1F9A5	sloth	עצלן
1F9A6	otter	לוטרה
1F9A8	skunk	בואש
1F998	kangaroo	קנגרו
1F9A1	badger	גירית
1F983	turkey	תרנגול הודו
1F414	chicken	תרנגולת
1F413	rooster	תרנגול
1F426	bird	ציפור
1F427	penguin	פינגווין
1F54A	dove	יונה
1F985	eagle	עיט
1F986	duck	ברווז
1F9A2	swan	ברבור
1F989	owl	ינשוף
1F9A9	flamingo	פלמינגו
1F99A	peacock	טווס
1F99C	parrot	תוכי
1FABF	goose	אווז
1F438	frog	צפרדע
1F40A	crocodile	תנין
1F422	turtle	צב
1F98E	lizard	לטאה
1F40D	snake	נחש
1F409	dragon	דרקון
1F40B	whale	לווייתן
1F42C	dolphin	דולפין
1F9AD	seal	כלב ים
1F41F	fish	דג
1F421	blowfish	נפוחית
1F988	shark	כריש
1F419	octopus	תמנון
1F980	crab	סרטן
1F99E	lobster	לובסטר
1F990	shrimp	שרימפ
1F991	squid	דיונון
1F40C	snail	חילזון
1F98B	butterfly	פרפר
1F41B	bug	חרק
1F41C	ant	נמלה
1F41D	honeybee	דבורת דבש
1FAB2	beetle	חיפושית
1F577	spider	עכביש
1F982	scorpion	עקרב
1F99F	mosquito	יתוש
1FAB1	worm	תולעת
1F344	mushroom	פטרייה
1F347	grapes	ענבים
1F348	melon	מלון
1F349	watermelon	אבטיח
1F34B	lemon	לימון
1F34C	banana	בננה
1F34D	pineapple	אננס
1F350	pear	אגס
1F351	peach	אפרסק
1F353	strawberry	תות
1F345	tomato	עגבנייה
1F965	coconut	קוקוס
1F951	avocado	אבוקדו
1F954	potato	תפוח אדמה
1F955	carrot	גזר
1F952	cucumber	מלפפון
1F966	broccoli	ברוקולי
1F9C4	garlic	שום
1F9C5	onion	בצל
1F35E	bread	לחם
1F950	croissant	קרואסון
1F96F	bagel	בייגל
1F95E	pancakes	פנקייקים
1F9C7	waffle	וופל
1F953	bacon	בייקון
1F354	hamburger	המבורגר
1F355	pizza	פיצה
1F96A	sandwich	כריך
1F32E	taco	טאקו
1F32F	burrito	בוריטו
1F95A	egg	ביצה
1F373	cooking	בישול
1F9C2	salt	מלח
1F35D	spaghetti	ספגטי
1F363	sushi	סושי
1F95F	dumpling	כיסון
1F369	doughnut	דונאט
1F36A	cookie	עוגייה
1F967	pie	פאי
1F36C	candy	ממתק
1F36D	lollipop	סוכרייה על מקל
1FAD6	teapot	קומקום תה
1F9CA	ice	קרח
1F962	chopsticks	מקלות אכילה
1F944	spoon	כף
1FAD9	jar	צנצנת
1F686	train	רכבת
1F687	metro	מטרו
1F68A	tram	חשמלית
1F69D	monorail	מונורייל
1F68C	bus	אוטובוס
1F68E	trolleybus	טרוליבוס
1F691	ambulance	אמבולנס
1F695	taxi	מונית
1F697	automobile	מכונית
1F69C	tractor	טרקטור
1F3CD	motorcycle	אופנוע
1F6B2	bicycle	אופניים
26F5	sailboat	סירת מפרש
1F6F6	canoe	קאנו
1F6A4	speedboat	סירת מנוע מהירה
26F4	ferry	מעבורת
1F6A2	ship	ספינה
2708	airplane	מטוס
1F681	helicopter	מסוק
1F680	rocket	רקטה
F8FF	apple	תפוח
E0C7	cake	עוגה
