filename	category	english	hebrew	russian
animal-mammoth.png	animal	mammoth	מאמות	мамонт
animal-walrus.png	animal	walrus	ולרוס	морж
animal-narwhal.png	animal	narwhal	נרוואל	нарвал
animal-seal.png	animal	seal	כלב ים	тюлень
animal-meerkat.png	animal	meerkat	סוריקטה	сурикат
animal-mongoose.png	animal	mongoose	מנגוסטה	мангуст
animal-armadillo.png	animal	armadillo	ארמדילו	броненосец
animal-capybara.png	animal	capybara	קאפיבארה	капибара
animal-pangolin.png	animal	pangolin	פנגולין	панголин
bird-toucan.png	bird	toucan	טוקן	тукан
bird-puffin.png	bird	puffin	פאפין	тупик
bird-stork.png	bird	stork	חסידה	аист
bird-albatross.png	bird	albatross	אלבטרוס	альбатрос
bird-cardinal.png	bird	cardinal	קרדינל	кардинал
bird-kookaburra.png	bird	kookaburra	קוקאבורה	кукабарра
bird-pelican.png	bird	pelican	פליקן	пеликан
bird-dodo.png	bird	dodo	דודו	додо
reptile_amphibian_sea_insect-jellyfish.png	reptile_amphibian_sea_insect	jellyfish	מדוזה	медуза
reptile_amphibian_sea_insect-dragonfly.png	reptile_amphibian_sea_insect	dragonfly	שפירית	стрекоза
reptile_amphibian_sea_insect-iguana.png	reptile_amphibian_sea_insect	iguana	איגואנה	игуана
reptile_amphibian_sea_insect-chameleon.png	reptile_amphibian_sea_insect	chameleon	זיקית	хамелеон
reptile_amphibian_sea_insect-cobra.png	reptile_amphibian_sea_insect	cobra	קוברה	кобра
reptile_amphibian_sea_insect-alligator.png	reptile_amphibian_sea_insect	alligator	אליגטור	аллигатор
reptile_amphibian_sea_insect-salamander.png	reptile_amphibian_sea_insect	salamander	סלמנדרה	саламандра
reptile_amphibian_sea_insect-piranha.png	reptile_amphibian_sea_insect	piranha	פירנייה	пиранья
reptile_amphibian_sea_insect-tarantula.png	reptile_amphibian_sea_insect	tarantula	טרנטולה	тарантул
reptile_amphibian_sea_insect-firefly.png	reptile_amphibian_sea_insect	firefly	גחלילית	светлячок
reptile_amphibian_sea_insect-manta_ray.png	reptile_amphibian_sea_insect	manta ray	מנטה	манта
reptile_amphibian_sea_insect-clownfish.png	reptile_amphibian_sea_insect	clownfish	דג ליצן	рыба-клоун
food_plant_kitchen-blueberry.png	food_plant_kitchen	blueberry	אוכמניה	черника
food_plant_kitchen-cherry.png	food_plant_kitchen	cherry	דובדבן	вишня
food_plant_kitchen-mango.png	food_plant_kitchen	mango	מנגו	манго
